TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
10:17:41,LCD,1,217,30,98
10:17:43,LCD,1,2,30,98
10:17:44,LCD,1,27,30,98
10:17:45,LCD,1,7,30,98
10:17:46,LCD,1,418,30,98
10:17:47,LCD,1,964,30,98
10:17:48,LCD,1,09,30,98
10:17:50,LCD,1,6325,30,98
10:17:51,LCD,1,1465,30,98
10:17:52,LCD,1,491,30,98
10:17:53,LCD,1,4535,30,98
10:17:54,LCD,1,3968,30,98
10:17:55,LCD,1,5110,30,98
10:17:56,LCD,1,2554,30,98
10:17:57,LCD,1,3814,30,98
10:17:58,LCD,1,4432,30,98
10:17:59,LCD,1,2795,30,98
10:18:00,LCD,1,7996,30,98
10:18:01,LCD,1,4205,30,98
10:18:02,LCD,1,383,30,98
10:18:03,LCD,1,9225,30,98
10:18:05,LCD,1,390,30,98
10:18:06,LCD,1,2071,30,98
10:18:07,LCD,1,7142,30,98
10:18:08,LCD,1,6454,30,98
10:18:09,LCD,1,5563,30,98
10:18:10,LCD,1,3052,30,98
10:18:11,LCD,1,3440,30,98
10:18:12,LCD,1,4330,30,98
10:18:13,LCD,1,8304,30,98
10:18:14,LCD,1,1237,30,98
10:18:15,LCD,1,3325,30,98
10:18:16,LCD,1,6628,30,98
10:18:18,LCD,1,1955,30,95
10:18:19,LCD,1,3504,30,95
10:18:22,LCD,1,6902,30,95
10:18:23,LCD,1,4945,30,95
10:18:24,LCD,1,8724,30,95
10:18:26,LCD,1,9244,30,95
10:18:27,LCD,1,2522,30,95
10:18:28,LCD,1,1508,30,95
10:18:29,LCD,1,4575,30,95
10:18:30,LCD,1,8971,30,95
10:18:31,LCD,1,4175,30,95
10:18:32,LCD,1,8571,30,95
10:18:33,LCD,1,5560,30,95
10:18:35,LCD,1,7856,30,95
10:18:36,LCD,1,9155,30,95
10:18:37,LCD,1,388,30,95
10:18:38,LCD,1,944,30,95
10:18:39,LCD,1,4904,30,95
10:18:40,LCD,1,6727,30,95
10:18:41,LCD,1,4998,30,95
10:18:42,LCD,1,7005,30,95
10:18:43,LCD,1,4625,30,95
